lastName	yearOfBirth	yearOfDeath	fullName	job	location	yearPostingStart	yearPostingEnd	notes
ABBOTT	1941		ABBOTT, ANTHONY J., C.M.G., O.B.E.	Consul-General	Australia	1993	1997	
ABBOTT	1941		ABBOTT, ANTHONY J., C.M.G., O.B.E.	Governor	Montserrat	1997	2001	
ABBOTT	1879	1955	ABBOTT, ARTHUR, C.B.E.	Consul-General	Sao Paulo	1928	1939	
ABBOTT			ABBOTT, PETER	Counsellor and Deputy Head of Mission, Embassy	Portugal	2014		
ABBOTT			ABBOTT, WILLIAM G., (18_-1917)	Consul-General	Rio de Janeiro	1889	1895	
ABBOTT-WATT	1955		ABBOTT-WATT, THORHILDA (THORDA) M.V., O.B.E.	Ambassador	Armenia	2002	2006	
ABBOTT-WATT	1955		ABBOTT-WATT, THORHILDA (THORDA) M.V., O.B.E.	Ambasador	Outer Mongolia	2008	2009	
ABBOTT-WATT	1955		ABBOTT-WATT, THORHILDA (THORDA) M.V., O.B.E.	Ambasador	Outer Mongolia	2011	2012	
ABBOTT-WATT	1955		ABBOTT-WATT, THORHILDA (THORDA) M.V., O.B.E.	Ambassador	Turkmenistan	2016		
ABERCROMBY	1803	1868	ABERCROMBY, Hon. SIR RALPH, K.C.B. (later 2nd LORD DUNFERMLINE)	Secretary of Legation	Prussia	1831	1836	
ABERCROMBY	1803	1868	ABERCROMBY, Hon. SIR RALPH, K.C.B. (later 2nd LORD DUNFERMLINE)	Minister Resident	Tuscany	1836	1839	
ABERCROMBY	1803	1868	ABERCROMBY, Hon. SIR RALPH, K.C.B. (later 2nd LORD DUNFERMLINE)	Minister	German Confederation	1839	1840	
ABERCROMBY	1803	1868	ABERCROMBY, Hon. SIR RALPH, K.C.B. (later 2nd LORD DUNFERMLINE)	Minister	Sardinia-Piedmont	1840	1852	
ABERCROMBY	1803	1868	ABERCROMBY, Hon. SIR RALPH, K.C.B. (later 2nd LORD DUNFERMLINE)	Minister	Netherlands	1852	1858	
ABERDEEN	1784	1860	ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF, K.G., K.T., G.C.B.	Ambassador	Austria	1813	1814	
ACLAND	1930		ACLAND, SIR ANTONY A., K.G., G.C.M.G., G.C.V.O.	Head of Arabian Department	Foreign and Commonwealth Office	1970	1972	
ACLAND	1930		ACLAND, SIR ANTONY A., K.G., G.C.M.G., G.C.V.O.	Principal Private Secretary	Foreign Secretary	1972	1975	
ACLAND	1930		ACLAND, SIR ANTONY A., K.G., G.C.M.G., G.C.V.O.	Ambassador	Luxemburg	1975	1977	
ACLAND	1930		ACLAND, SIR ANTONY A., K.G., G.C.M.G., G.C.V.O.	Ambassador	Spain	1977	1980	
ACLAND	1930		ACLAND, SIR ANTONY A., K.G., G.C.M.G., G.C.V.O.	Deputy Under-Secretary for Foreign and Commonwealth Affairs (Defence and Intelligence)		1980	1982	
ACLAND	1930		ACLAND, SIR ANTONY A., K.G., G.C.M.G., G.C.V.O.	Permanent Under-Secretary for Foreign and Commonwealth Affairs		1982	1986	
ACLAND	1930		ACLAND, SIR ANTONY A., K.G., G.C.M.G., G.C.V.O.	Ambassador	U.S.A.	1986	1991	
A’COURT	1779	1860	A’COURT, Rt. Hon. Sir WILLIAM, Bt., G.C.B. (later 1st LORD HEYTESBURY)	Secretary of Legation	Two Sicilies	1801	1807	
A’COURT	1779	1860	A’COURT, Rt. Hon. Sir WILLIAM, Bt., G.C.B. (later 1st LORD HEYTESBURY)	Minister	Two Sicilies	1814	1822	
A’COURT	1779	1860	A’COURT, Rt. Hon. Sir WILLIAM, Bt., G.C.B. (later 1st LORD HEYTESBURY)	Minister	Spain	1822	1824	
A’COURT	1779	1860	A’COURT, Rt. Hon. Sir WILLIAM, Bt., G.C.B. (later 1st LORD HEYTESBURY)	Ambassador	Portugal	1828	1832	
A’COURT	1779	1860	A’COURT, Rt. Hon. Sir WILLIAM, Bt., G.C.B. (later 1st LORD HEYTESBURY)	Ambassador	Russia	1828	1832	
ACTON	1870	1924	ACTON, RICHARD, 2nd LORD, K.C.V.O.	Secretary of Legation	Netherlands	1906	1911	
ACTON	1870	1924	ACTON, RICHARD, 2nd LORD, K.C.V.O.	Charge d’Affaires	Hesse-Darmstadt and Baden	1911	1914	
ACTON	1870	1924	ACTON, RICHARD, 2nd LORD, K.C.V.O.	Secretary of Legation	Switzerland	1914	1919	
ACTON	1870	1924	ACTON, RICHARD, 2nd LORD, K.C.V.O.	Minister	Finland	1919	1920	
ADAIR	1913	1981	ADAIR, ARTHUR R., C.V.O., M.B.E.	Deputy High Commissioner	Pakistan	1960	1964	
ADAIR	1913	1981	ADAIR, ARTHUR R., C.V.O., M.B.E.	Deputy High Commissioner	Cyprus	1964	1968	
ADAIR	1913	1981	ADAIR, ARTHUR R., C.V.O., M.B.E.	High Commissioner	Brunei	1968	1972	
ADAIR	1763	1855	ADAIR, Rt. Hon. SIR ROBERT, G.C.B.	Ambassador	Turkey	1809	1810	
ADAM	1852	1913	ADAM, C.F. FREDERICK	Secretary of Legation	Brazil	1888	1892	
ADAM	1852	1913	ADAM, C.F. FREDERICK	Secretary of Legation	Belgium	1892	1897	
ADAM	1852	1913	ADAM, C.F. FREDERICK	Secretary of Embassy	U.S.A.	1897	1898	
ADAM	1852	1913	ADAM, C.F. FREDERICK	Secretary of Embassy (Counsellor)	Spain	1898	1905	
ADAM	1887	1969	ADAM, FREDERICK E.F., C.M.G.	Counsellor, Embassy	Portugal	1929	1934	
